0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:45:13 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:45:13 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:45:16 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:45:57 +0900] "GET /ex0414/ex04.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:45:57 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:46:06 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:46:06 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:46:06 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:46:07 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:46:07 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:46:07 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:46:08 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:46:13 +0900] "GET /ex0414/ex04.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:46:23 +0900] "GET /ex0414/ex04.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:48:42 +0900] "GET /ex0414/ex04.html HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:48:44 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:48:44 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:48:45 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:48:45 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:48:45 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:48:57 +0900] "GET /ex0414/ex04.html HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:48:57 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:49:04 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:49:04 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:49:06 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:49:07 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:11:50:00 +0900] "GET /ex0414/ex04.html HTTP/1.1" 304 -
